title,meta,price
 Glenfiddich 15 Year Old, 20cl / 40% , £12.45 
 Dalwhinnie 15 Year Old, 20cl / 43% , £13.45 
 Bunnahabhain Stiuireadair, 20cl / 46.3% , £13.75 
 Caol Ila 12 Year Old, 20cl / 43% , £14.95 
 Cragganmore 12 Year Old, 20cl / 40% , £15.95 
 Bunnahabhain Toiteach A Dha, 20cl / 46.3% , £16.45 
 Bunnahabhain 12 Year Old, 20cl / 46.3% , £16.45 
 Glenkinchie 12 Year Old, 20cl / 43% , £16.45 
 Talisker 10 Year Old, 20cl / 45.8% , £16.95 
 Kingsbarns Spirit Drink , 20cl / 63.5% , £16.95 
 Clynelish 14 Year Old, 20cl / 46% , £17.45 
 Glen Scotia Double Cask, 20cl / 46% , £17.95 
 Loch Lomond 12 Year Old, 20cl / 46% , £17.95 
 Edradour 10 Year Old, 20cl / 40% , £18.25 
 Balvenie 12 Year Old, 20cl / 40% , £18.75 
 Tomatin 12 Year Old, 20cl / 43% , £18.75 
 Oban 14 Year Old, 20cl / 43% , £18.95 
 Glenfarclas 10 Year Old, 20cl / 40% , £18.95 
 Lagg Heavily Peated New Make Spirit , 20cl / 63.5% , £19.75 
 Glengoyne 10 Year Old, 20cl / 40% , £19.75 
 Glen Scotia Double Cask, 20cl / 46% , £19.95 
 Loch Lomond 12 Year Old, 20cl / 46% , £19.95 
 Glenfarclas 12 Year Old, 20cl / 43% , £19.95 
 Highland Park 12 Year Old, 35cl / 40% , £20.95 
 Kilchoman Machir Bay, 20cl / 46% , £21.95 
 Glenmorangie 10 Year Old, 35cl / 40% , £21.95 
 Glen Moray Classic , 70cl / 40% , £22.95 
 Glenfiddich 12 Year Old, 35cl / 40% , £22.95 
 Jura Journey , 70cl / 40% , £24.45 
 Crabbies Yardhead Single Malt , 70cl / 40% , £24.95 
 Glenfarclas 105°, 20cl / 60% , £24.95 
 Auchentoshan American Oak , 70cl / 40% , £24.95 
 Tomintoul 16 Year Old, 35cl / 40% , £24.95 
 Speyburn Bradan Orach , 70cl / 40% , £25.25 
 Loch Lomond Original, 70cl / 40% , £25.75 
 Glen Moray Sherry Cask Finish , 70cl / 40% , £26.95 
 Tomintoul Tlath , 70cl / 40% , £26.95 
 Glen Moray Peated , 70cl / 40% , £26.95 
 Glen Moray Port Cask Finish , 70cl / 40% , £26.95 
 Ardmore Legacy , 70cl / 40% , £27.95 
 Glen Keith Distillery Edition , 70cl / 40% , £28.95 
 Glencadam Origin 1825, 70cl / 40% , £28.95 
 Glenmorangie X , 70cl / 40% , £29.95 
 Loch Lomond 18 Year Old, 20cl / 46% , £29.95 
 Glen Moray Port Cask Finish, 70cl / 40% , £29.95 
 Glen Moray Classic, 70cl / 40% , £29.95 
 Glen Moray Peated, 70cl / 40% , £29.95 
 Speyburn 10 Year Old , 70cl / 40% , £30.45 
 Tomatin Legacy, 70cl / 43% , £30.45 
 Tomintoul Peaty Tang , 70cl / 40% , £30.95 
 Tomintoul 10 Year Old , 70cl / 40% , £30.95 
 AnCnoc 12 Year Old , 70cl / 40% , £31.45 
 John Crabbie 12 Year Old , 70cl / 40% , £31.75 
 Finlaggan Original, 70cl / 40% , £31.95 
